"nome","partido","uf","cargo","sequencial"
"THEREZINHA RUIZ DE OLIVEIRA","DEM","AM","DEPUTADO ESTADUAL",40000000451
"VERA LÚCIA GARRIDO DA SILVA","DEM","AM","DEPUTADO ESTADUAL",40000000452
"JOEL RODRIGUES LOBO","PEN","AM","DEPUTADO ESTADUAL",40000000453
"DANIEL DA SILVA FALCÃO","PEN","AM","DEPUTADO ESTADUAL",40000000454
"KEILA AMORIM DA GRAÇA","PHS","AM","DEPUTADO ESTADUAL",40000000455
"FRANCISCO CARLOS NASCIMENTO DE OLIVEIRA","PHS","AM","DEPUTADO ESTADUAL",40000000456
"ÁDREA MARIA XAVIER LIRA","PHS","AM","DEPUTADO ESTADUAL",40000000457
"MATEUS ARIVAL FERREIRA BURTON","PHS","AM","DEPUTADO ESTADUAL",40000000458
"DÊNIS ALMEIDA DOS SANTOS","PHS","AM","DEPUTADO ESTADUAL",40000000459
"RAIMUNDA CARVALHO MENDONÇA","PHS","AM","DEPUTADO ESTADUAL",40000000460
"MARIA APARECIDA MARINHO DOS SANTOS","DEM","AM","DEPUTADO ESTADUAL",40000000461
"SIDNEY SANTOS DE SOUZA","DEM","AM","DEPUTADO ESTADUAL",40000000462
"MARIA DO PERPETUO SOCORRO DE FREITAS FERREIRA","DEM","AM","DEPUTADO ESTADUAL",40000000463
"CAMILA RAMOS FERREIRA","DEM","AM","DEPUTADO ESTADUAL",40000000464
"RENATO NASCIMENTO DE CASTRO","DEM","AM","DEPUTADO ESTADUAL",40000000465
"CARLOS AUGUSTO DE ALMEIDA","DEM","AM","DEPUTADO ESTADUAL",40000000466
"JANETE SANTOS DE AQUINO","DEM","AM","DEPUTADO ESTADUAL",40000000467
"EUCLIDES XAVIER DOS SANTOS","DEM","AM","DEPUTADO ESTADUAL",40000000468
"EDERVANDIO OLIVEIRA DO CARMO","DEM","AM","DEPUTADO ESTADUAL",40000000469
"CARLOS AUGUSTO DA COSTA E SILVA","DEM","AM","DEPUTADO ESTADUAL",40000000470
"CARLOS JORGE ATAIDE DE OLIVEIRA","DEM","AM","DEPUTADO ESTADUAL",40000000471
"GRACE ANNY FONSECA BENAYON ZAMPERLINI","DEM","AM","DEPUTADO ESTADUAL",40000000472
