nome,partido,uf,cargo,sequencial
"RENATA MONTANHAUR MARTINS",PSOL,SP,"DEPUTADO ESTADUAL",250000001806
"DILADOR BORGES DAMASCENO",PSDB,SP,"DEPUTADO ESTADUAL",250000001602
"CARLA JESUS DA SILVA",PRTB,SP,"DEPUTADO ESTADUAL",250000002327
"JOSINO BENTES MONTEIRO",PDT,SP,"DEPUTADO ESTADUAL",250000002083
"SAMUEL PEREIRA DOS SANTOS",PSOL,SP,"DEPUTADO FEDERAL",250000001714
"SILVIA ANTUNES MORAES DE ALMEIDA",PSDB,SP,"DEPUTADO ESTADUAL",250000001601
"OSWALDO APARECIDO MACHADO",PPS,SP,"DEPUTADO ESTADUAL",250000001624
"WALTER BONETTI",PRTB,SP,"DEPUTADO FEDERAL",250000002309
"RIVALDO RODRIGUES NOVAES JUNIOR","PC do B",SP,"DEPUTADO ESTADUAL",250000000014
"MAURICIO DANIEL DE SOUZA",PRTB,SP,"DEPUTADO FEDERAL",250000002304
"MARLON MEIRA DOS SANTOS",PRTB,SP,"DEPUTADO FEDERAL",250000002303
"LEONILDO BATISTA",PRTB,SP,"DEPUTADO FEDERAL",250000002302
"HOSANNAH DA SILVA VALE",PRTB,SP,"DEPUTADO FEDERAL",250000002301
"ANTONIO PAULO ELIAS DA SILVA",PRTB,SP,"DEPUTADO FEDERAL",250000002297
"WILSON MOSCA SEGUNDO",PRTB,SP,"DEPUTADO ESTADUAL",250000002294
"OSVALDO DE FREITAS FERREIRA",PRTB,SP,"DEPUTADO ESTADUAL",250000002291
"SONIA MARIA ESTEVES DOS SANTOS",SD,SP,"DEPUTADO ESTADUAL",250000000817
"MARCOS GUERRA",PR,SP,"DEPUTADO ESTADUAL",250000000738
"EVA DA CONCEIÇÃO RODRIGUES DE SOUSA",PSOL,SP,"DEPUTADO FEDERAL",250000001752
"LOURDES DAS DORES PIRES MARINELLI DE OLIVEIRA",PDT,SP,"DEPUTADO ESTADUAL",250000002061
"ANTONIO OCILIO VASCONCELOS DA SILVA",PSOL,SP,"DEPUTADO FEDERAL",250000001718
"FELIPE BRILHANTE MAROPO",PSOL,SP,"DEPUTADO FEDERAL",250000001787
"ADELAIDE PEREIRA DE SOUSA",SD,SP,"DEPUTADO FEDERAL",250000000813
"MANOEL FREIRE DE MOURA",PTB,SP,"DEPUTADO FEDERAL",250000003665
"DINA MARA ZACARIAS DA COSTA",PTB,SP,"DEPUTADO FEDERAL",250000003663
"THAYNE NICOLAU DOS SANTOS",PCO,SP,"DEPUTADO ESTADUAL",250000003651
"EDILSON APARECIDO DE OLIVEIRA CRUPE",PTC,SP,"DEPUTADO ESTADUAL",250000003647
"HEITOR ROBERTO TOMMASINI",PTC,SP,"DEPUTADO FEDERAL",250000003643
"LUIZ CARLOS DE OLIVEIRA DOS ANJOS",PEN,SP,"DEPUTADO ESTADUAL",250000003122
"ROBERTO SILVA",PDT,SP,"DEPUTADO ESTADUAL",250000002072
"MARINA MEDEIROS QUEIROZ DE MORAES",PV,SP,"DEPUTADO FEDERAL",250000000956
"MARLENE DOS SANTOS GAIOTO",PROS,SP,"DEPUTADO ESTADUAL",250000000889
"MARIA JOSÉ CÂNDIDO DOS SANTOS RAIMUNDO",PTB,SP,"DEPUTADO FEDERAL",250000002345
"NOEMIA VIEIRA STIVAM",PSC,SP,"DEPUTADO ESTADUAL",250000000466
"APARECIDO DE SOUZA",PRP,SP,"DEPUTADO ESTADUAL",250000002756
"WALTER LUIZ DE AZEVEDO",PRP,SP,"DEPUTADO FEDERAL",250000003012
"GRACIELA DE LOURDES DAVID AMBROSIO",PP,SP,"DEPUTADO FEDERAL",250000002157
"ARMINDO ALBINO MUNHOZ",PRP,SP,"DEPUTADO ESTADUAL",250000002843
"EDERSON GONÇALVES DE OLIVEIRA",PRP,SP,"DEPUTADO FEDERAL",250000002977
"MUNIR JORGE DAHER",PSD,SP,"DEPUTADO ESTADUAL",250000002702
"ROSANGELA DE SOUSA",PSL,SP,"DEPUTADO ESTADUAL",250000000264
"LAFAIETE PEREIRA BIET",PT,SP,"DEPUTADO ESTADUAL",250000004027
"ABNELIO FERREIRA DE SOUZA",PHS,SP,"DEPUTADO ESTADUAL",250000003349
"LUIZA NAGIB ELUF",PRP,SP,"DEPUTADO FEDERAL",250000002959
"AMANDA FERNANDA CORNELO TEIXEIRA",PSL,SP,"DEPUTADO ESTADUAL",250000000164
"DEVANIR RIBEIRO",PT,SP,"DEPUTADO FEDERAL",250000000623
"WAINES MOREIRA ALVES",PT,SP,"DEPUTADO FEDERAL",250000000666
"MARCOS ANDRÉ SILVA",PHS,SP,"DEPUTADO FEDERAL",250000002919
"ANTONIO APARECIDO RODRIGUES DA SILVA",PEN,SP,"DEPUTADO FEDERAL",250000003078
"MARCO PIRES DO PRADO",PCO,SP,"DEPUTADO ESTADUAL",250000001498
"MANOEL DA CRUZ CARLOS VIEIRA",PMDB,SP,"DEPUTADO FEDERAL",250000002117
"ANA MARIA AIRES DE OLIVEIRA",PROS,SP,"DEPUTADO ESTADUAL",250000000894
"PAULO JORGE CASSIMIRO",PRP,SP,"DEPUTADO ESTADUAL",250000002857
"RINALDO ALVES PEREIRA",PMDB,SP,"DEPUTADO FEDERAL",250000002101
"OTÁVIO LUIZ DE MORAES",PHS,SP,"DEPUTADO ESTADUAL",250000003306
"JANETE ROCHA PIETA",PT,SP,"DEPUTADO FEDERAL",250000000634
"SILAS EDUARDO INKE",PDT,SP,"DEPUTADO FEDERAL",250000002038
"FERNANDO CESAR RAMOS",PSC,SP,"DEPUTADO ESTADUAL",250000000397
